t,species,metamer,organ,element,Eabs_direct,Eabs_diffuse
0,Soissons,1,blade,LeafElement1,0,0
0,Soissons,1,sheath,StemElement,0,0
0,Soissons,2,blade,LeafElement1,0,0
0,Soissons,2,sheath,StemElement,0,0
0,Soissons,3,blade,LeafElement1,0,0
0,Soissons,3,sheath,StemElement,0,0
0,Soissons,4,blade,LeafElement1,0,0
0,Soissons,4,internode,StemElement,0,0
0,Soissons,4,sheath,StemElement,0,0
0,Soissons,5,internode,StemElement,0,0
0,Soissons,6,internode,StemElement,0,0
1,Soissons,1,blade,LeafElement1,0,0
1,Soissons,1,sheath,StemElement,0,0
1,Soissons,2,blade,LeafElement1,0,0
1,Soissons,2,sheath,StemElement,0,0
1,Soissons,3,blade,LeafElement1,0,0
1,Soissons,3,sheath,StemElement,0,0
1,Soissons,4,blade,LeafElement1,0,0
1,Soissons,4,internode,StemElement,0,0
1,Soissons,4,sheath,StemElement,0,0
1,Soissons,5,internode,StemElement,0,0
1,Soissons,6,internode,StemElement,0,0
2,Soissons,1,blade,LeafElement1,0,0
2,Soissons,1,sheath,StemElement,0,0
2,Soissons,2,blade,LeafElement1,0,0
2,Soissons,2,sheath,StemElement,0,0
2,Soissons,3,blade,LeafElement1,0,0
2,Soissons,3,sheath,StemElement,0,0
2,Soissons,4,blade,LeafElement1,0,0
2,Soissons,4,internode,StemElement,0,0
2,Soissons,4,sheath,StemElement,0,0
2,Soissons,5,internode,StemElement,0,0
2,Soissons,6,internode,StemElement,0,0
3,Soissons,1,blade,LeafElement1,0,0
3,Soissons,1,sheath,StemElement,0,0
3,Soissons,2,blade,LeafElement1,0,0
3,Soissons,2,sheath,StemElement,0,0
3,Soissons,3,blade,LeafElement1,0,0
3,Soissons,3,sheath,StemElement,0,0
3,Soissons,4,blade,LeafElement1,0,0
3,Soissons,4,internode,StemElement,0,0
3,Soissons,4,sheath,StemElement,0,0
3,Soissons,5,internode,StemElement,0,0
3,Soissons,6,internode,StemElement,0,0
4,Soissons,1,blade,LeafElement1,0,0
4,Soissons,1,sheath,StemElement,0,0
4,Soissons,2,blade,LeafElement1,0,0
4,Soissons,2,sheath,StemElement,0,0
4,Soissons,3,blade,LeafElement1,0,0
4,Soissons,3,sheath,StemElement,0,0
4,Soissons,4,blade,LeafElement1,0,0
4,Soissons,4,internode,StemElement,0,0
4,Soissons,4,sheath,StemElement,0,0
4,Soissons,5,internode,StemElement,0,0
4,Soissons,6,internode,StemElement,0,0
5,Soissons,1,blade,LeafElement1,0,0.064500718
5,Soissons,1,sheath,StemElement,0,0.029024284
5,Soissons,2,blade,LeafElement1,0.000313884,0.105347214
5,Soissons,2,sheath,StemElement,3.64E-05,0.025774486
5,Soissons,3,blade,LeafElement1,0.004960402,0.190216467
5,Soissons,3,sheath,StemElement,0.000167287,0.038942547
5,Soissons,4,blade,LeafElement1,0.227864609,0.376722291
5,Soissons,4,internode,StemElement,0.000594946,0.053715431
5,Soissons,4,sheath,StemElement,0.008500072,0.086624149
5,Soissons,5,internode,StemElement,0.04593538,0.137833653
5,Soissons,6,internode,StemElement,0.884342017,0.272316703
6,Soissons,1,blade,LeafElement1,0.008480165,0.064500718
6,Soissons,1,sheath,StemElement,0.003016923,0.029024284
6,Soissons,2,blade,LeafElement1,0.02044878,0.105347214
6,Soissons,2,sheath,StemElement,0.003847642,0.025774486
6,Soissons,3,blade,LeafElement1,0.069241778,0.190216467
6,Soissons,3,sheath,StemElement,0.010362824,0.038942547
6,Soissons,4,blade,LeafElement1,0.355073809,0.376722291
6,Soissons,4,internode,StemElement,0.019289014,0.053715431
6,Soissons,4,sheath,StemElement,0.069205281,0.086624149
6,Soissons,5,internode,StemElement,0.171980264,0.137833653
6,Soissons,6,internode,StemElement,0.647531223,0.272316703
7,Soissons,1,blade,LeafElement1,0.036375353,0.064500718
7,Soissons,1,sheath,StemElement,0.016448912,0.029024284
7,Soissons,2,blade,LeafElement1,0.061357573,0.105347214
7,Soissons,2,sheath,StemElement,0.017731851,0.025774486
7,Soissons,3,blade,LeafElement1,0.139547034,0.190216467
7,Soissons,3,sheath,StemElement,0.032756131,0.038942547
7,Soissons,4,blade,LeafElement1,0.374220905,0.376722291
7,Soissons,4,internode,StemElement,0.058441469,0.053715431
7,Soissons,4,sheath,StemElement,0.112600541,0.086624149
7,Soissons,5,internode,StemElement,0.197725429,0.137833653
7,Soissons,6,internode,StemElement,0.474694741,0.272316703
8,Soissons,1,blade,LeafElement1,0.060168565,0.064500718
8,Soissons,1,sheath,StemElement,0.028008517,0.029024284
8,Soissons,2,blade,LeafElement1,0.093002178,0.105347214
8,Soissons,2,sheath,StemElement,0.030780744,0.025774486
8,Soissons,3,blade,LeafElement1,0.170002016,0.190216467
8,Soissons,3,sheath,StemElement,0.04700792,0.038942547
8,Soissons,4,blade,LeafElement1,0.381516719,0.376722291
8,Soissons,4,internode,StemElement,0.064504724,0.053715431
8,Soissons,4,sheath,StemElement,0.121464368,0.086624149
8,Soissons,5,internode,StemElement,0.189818187,0.137833653
8,Soissons,6,internode,StemElement,0.359953105,0.272316703
9,Soissons,1,blade,LeafElement1,0.071388734,0.064500718
9,Soissons,1,sheath,StemElement,0.031983554,0.029024284
9,Soissons,2,blade,LeafElement1,0.110125108,0.105347214
9,Soissons,2,sheath,StemElement,0.035968507,0.025774486
9,Soissons,3,blade,LeafElement1,0.193064308,0.190216467
9,Soissons,3,sheath,StemElement,0.053691626,0.038942547
9,Soissons,4,blade,LeafElement1,0.393125034,0.376722291
9,Soissons,4,internode,StemElement,0.06065059,0.053715431
9,Soissons,4,sheath,StemElement,0.108097056,0.086624149
9,Soissons,5,internode,StemElement,0.189754377,0.137833653
9,Soissons,6,internode,StemElement,0.262486686,0.272316703
10,Soissons,1,blade,LeafElement1,0.080070917,0.064500718
10,Soissons,1,sheath,StemElement,0.038321291,0.029024284
10,Soissons,2,blade,LeafElement1,0.132975962,0.105347214
10,Soissons,2,sheath,StemElement,0.031495611,0.025774486
10,Soissons,3,blade,LeafElement1,0.199859155,0.190216467
10,Soissons,3,sheath,StemElement,0.058727608,0.038942547
10,Soissons,4,blade,LeafElement1,0.386463037,0.376722291
10,Soissons,4,internode,StemElement,0.048606928,0.053715431
10,Soissons,4,sheath,StemElement,0.104568349,0.086624149
10,Soissons,5,internode,StemElement,0.141224316,0.137833653
10,Soissons,6,internode,StemElement,0.195806762,0.272316703
11,Soissons,1,blade,LeafElement1,0.075868535,0.064500718
11,Soissons,1,sheath,StemElement,0.025551287,0.029024284
11,Soissons,2,blade,LeafElement1,0.144705747,0.105347214
11,Soissons,2,sheath,StemElement,0.030431672,0.025774486
11,Soissons,3,blade,LeafElement1,0.233938047,0.190216467
11,Soissons,3,sheath,StemElement,0.059458628,0.038942547
