t,species,metamer,organ,element,Eabs_direct,Eabs_diffuse
0,Caphorn,1,blade,LeafElement1,0,0
0,Caphorn,1,sheath,StemElement,0,0
0,Caphorn,2,blade,LeafElement1,0,0
0,Caphorn,2,sheath,StemElement,0,0
0,Caphorn,3,blade,LeafElement1,0,0
0,Caphorn,3,sheath,StemElement,0,0
0,Caphorn,4,blade,LeafElement1,0,0
0,Caphorn,4,internode,StemElement,0,0
0,Caphorn,4,sheath,StemElement,0,0
0,Caphorn,5,internode,StemElement,0,0
0,Caphorn,6,internode,StemElement,0,0
1,Caphorn,1,blade,LeafElement1,0,0
1,Caphorn,1,sheath,StemElement,0,0
1,Caphorn,2,blade,LeafElement1,0,0
1,Caphorn,2,sheath,StemElement,0,0
1,Caphorn,3,blade,LeafElement1,0,0
1,Caphorn,3,sheath,StemElement,0,0
1,Caphorn,4,blade,LeafElement1,0,0
1,Caphorn,4,internode,StemElement,0,0
1,Caphorn,4,sheath,StemElement,0,0
1,Caphorn,5,internode,StemElement,0,0
1,Caphorn,6,internode,StemElement,0,0
2,Caphorn,1,blade,LeafElement1,0,0
2,Caphorn,1,sheath,StemElement,0,0
2,Caphorn,2,blade,LeafElement1,0,0
2,Caphorn,2,sheath,StemElement,0,0
2,Caphorn,3,blade,LeafElement1,0,0
2,Caphorn,3,sheath,StemElement,0,0
2,Caphorn,4,blade,LeafElement1,0,0
2,Caphorn,4,internode,StemElement,0,0
2,Caphorn,4,sheath,StemElement,0,0
2,Caphorn,5,internode,StemElement,0,0
2,Caphorn,6,internode,StemElement,0,0
3,Caphorn,1,blade,LeafElement1,0,0
3,Caphorn,1,sheath,StemElement,0,0
3,Caphorn,2,blade,LeafElement1,0,0
3,Caphorn,2,sheath,StemElement,0,0
3,Caphorn,3,blade,LeafElement1,0,0
3,Caphorn,3,sheath,StemElement,0,0
3,Caphorn,4,blade,LeafElement1,0,0
3,Caphorn,4,internode,StemElement,0,0
3,Caphorn,4,sheath,StemElement,0,0
3,Caphorn,5,internode,StemElement,0,0
3,Caphorn,6,internode,StemElement,0,0
4,Caphorn,1,blade,LeafElement1,0,0
4,Caphorn,1,sheath,StemElement,0,0
4,Caphorn,2,blade,LeafElement1,0,0
4,Caphorn,2,sheath,StemElement,0,0
4,Caphorn,3,blade,LeafElement1,0,0
4,Caphorn,3,sheath,StemElement,0,0
4,Caphorn,4,blade,LeafElement1,0,0
4,Caphorn,4,internode,StemElement,0,0
4,Caphorn,4,sheath,StemElement,0,0
4,Caphorn,5,internode,StemElement,0,0
4,Caphorn,6,internode,StemElement,0,0
5,Caphorn,1,blade,LeafElement1,0,0.025060894
5,Caphorn,1,sheath,StemElement,0,0.011248684
5,Caphorn,2,blade,LeafElement1,0,0.035840924
5,Caphorn,2,sheath,StemElement,0,0.006694624
5,Caphorn,3,blade,LeafElement1,0,0.077039278
5,Caphorn,3,sheath,StemElement,0,0.014746333
5,Caphorn,4,blade,LeafElement1,0.13172531,0.206157968
5,Caphorn,4,internode,StemElement,0,0.02218708
5,Caphorn,4,sheath,StemElement,0,0.046331114
5,Caphorn,5,internode,StemElement,0.000400256,0.060816833
5,Caphorn,6,internode,StemElement,0.424596771,0.184084828
6,Caphorn,1,blade,LeafElement1,0,0.025060894
6,Caphorn,1,sheath,StemElement,0,0.011248684
6,Caphorn,2,blade,LeafElement1,2.14E-05,0.035840924
6,Caphorn,2,sheath,StemElement,0,0.006694624
6,Caphorn,3,blade,LeafElement1,0.001571989,0.077039278
6,Caphorn,3,sheath,StemElement,9.94E-06,0.014746333
6,Caphorn,4,blade,LeafElement1,0.181787073,0.206157968
6,Caphorn,4,internode,StemElement,0,0.02218708
6,Caphorn,4,sheath,StemElement,0.001353063,0.046331114
6,Caphorn,5,internode,StemElement,0.010538799,0.060816833
6,Caphorn,6,internode,StemElement,0.376080894,0.184084828
7,Caphorn,1,blade,LeafElement1,0.000801362,0.025060894
7,Caphorn,1,sheath,StemElement,0.000288811,0.011248684
7,Caphorn,2,blade,LeafElement1,0.002274323,0.035840924
7,Caphorn,2,sheath,StemElement,0.000221568,0.006694624
7,Caphorn,3,blade,LeafElement1,0.016000013,0.077039278
7,Caphorn,3,sheath,StemElement,0.000668936,0.014746333
7,Caphorn,4,blade,LeafElement1,0.217865867,0.206157968
7,Caphorn,4,internode,StemElement,0.00273637,0.02218708
7,Caphorn,4,sheath,StemElement,0.011994085,0.046331114
7,Caphorn,5,internode,StemElement,0.049862076,0.060816833
7,Caphorn,6,internode,StemElement,0.319532666,0.184084828
8,Caphorn,1,blade,LeafElement1,0.00422471,0.025060894
8,Caphorn,1,sheath,StemElement,0.001890507,0.011248684
8,Caphorn,2,blade,LeafElement1,0.010107088,0.035840924
8,Caphorn,2,sheath,StemElement,0.002392764,0.006694624
8,Caphorn,3,blade,LeafElement1,0.039002917,0.077039278
8,Caphorn,3,sheath,StemElement,0.005594137,0.014746333
8,Caphorn,4,blade,LeafElement1,0.229442419,0.206157968
8,Caphorn,4,internode,StemElement,0.012624895,0.02218708
8,Caphorn,4,sheath,StemElement,0.028793745,0.046331114
8,Caphorn,5,internode,StemElement,0.069566596,0.060816833
8,Caphorn,6,internode,StemElement,0.269707279,0.184084828
9,Caphorn,1,blade,LeafElement1,0.010966012,0.025060894
9,Caphorn,1,sheath,StemElement,0.004684971,0.011248684
9,Caphorn,2,blade,LeafElement1,0.022155544,0.035840924
9,Caphorn,2,sheath,StemElement,0.006452279,0.006694624
9,Caphorn,3,blade,LeafElement1,0.062252909,0.077039278
9,Caphorn,3,sheath,StemElement,0.01142751,0.014746333
9,Caphorn,4,blade,LeafElement1,0.246341299,0.206157968
9,Caphorn,4,internode,StemElement,0.021188434,0.02218708
9,Caphorn,4,sheath,StemElement,0.041256156,0.046331114
9,Caphorn,5,internode,StemElement,0.109876471,0.060816833
9,Caphorn,6,internode,StemElement,0.202853207,0.184084828
10,Caphorn,1,blade,LeafElement1,0.027860601,0.025060894
10,Caphorn,1,sheath,StemElement,0.011595608,0.011248684
10,Caphorn,2,blade,LeafElement1,0.056520676,0.035840924
