plant,axis,metamer,organ,element,width,height,PARa,nitrates,amino_acids,proteins,Nstruct,green_area
1,MS,10,blade,LeafElement1,0.018,0.6,0.004,0,16,380,0.00102,0.00346
1,MS,10,internode,HiddenElement,0.00257,0.3,0,0,17,66,0.00064,0.00113
1,MS,10,sheath,StemElement,0.0011,0.5,0,0,12,128,0.00068,0.0006
1,MS,11,blade,LeafElement1,0.014,0.38,0.012,0,10,210,0.00083,0.0034
1,MS,11,internode,HiddenElement,0.00099,0.18,0,0,21,20,0.00033,0.0004
1,MS,11,sheath,StemElement,0.00091,0.3,0.002,0,8,47,0.00021,0.0005
1,MS,12,blade,LeafElement1,0.0125,0.24,0.052,0,6,85,0.00053,0.00228
1,MS,12,internode,HiddenElement,0.00093,0.08,0,0,18,20,0.00014,0.00025
1,MS,12,sheath,StemElement,0.00051,0.18,0.014,0,5,13,0.00011,0.0004
1,MS,13,peduncle,HiddenElement,0.00349,0.65,0.002,0,20,120,0.00086,0.00159
1,MS,13,peduncle,StemElement,0.00349,0.5,0.026,0,10,61,0.00044,0.00081
1,MS,14,ear,StemElement,0.00265,0.7,0.06,0,25,260,0.00107,0.00075
