t,DOY,hour,air_temperature,PARi,soil_temperature,humidity,ambient_CO2,Wind
0,347,12,5.2,356.308743,5.839513639,0.95,360,2.9
1,347,13,5.6,321.012698,6.263926728,0.88,360,2.9
2,347,14,4.8,245.2489162,5.41510055,0.92,360,2.9
3,347,15,3.6,151.540562,6.223,0.95,360,2.9
4,347,16,3.5,49.47473316,5.9565,0.96,360,2.9
5,347,17,3.6,34.06917687,5.733,0.97,360,2.9
6,347,18,3.7,8.514758863,5.59,0.98,360,2.9
7,347,19,3.9,0,5.511,0.99,360,2.9
8,347,20,3.9,0,5.4795,0.99,360,2.9
9,347,21,4.4,0,5.455,0.99,360,2.9
10,347,22,4.7,0,5.4495,0.99,360,2.9
11,347,23,4.4,0,5.4655,0.99,360,2.9
12,347,24,4.3,0,5.445,0.98,360,4.6
13,348,1,4.5,0,5.385,0.96,360,4.6
14,348,2,4.5,0,5.346,0.96,360,4.6
15,348,3,5.1,0,5.347,0.96,360,4.6
16,348,4,5.5,0.031298123,5.401,0.95,360,4.6
17,348,5,5.8,0,5.4885,0.95,360,4.6
18,348,6,6.2,0,5.5995,0.94,360,4.6
19,348,7,6.6,12.88821493,5.7115,0.94,360,4.6
20,348,8,7.1,37.76693068,5.8395,0.93,360,4.6
21,348,9,7.2,100.027282,6.0005,0.95,360,4.6
22,348,10,7.7,210.1919182,6.203,0.95,360,4.6
23,348,11,7.6,278.0014914,6.433,0.95,360,4.6
24,348,12,7.7,349.7864512,6.6255,0.95,360,4.6
25,348,13,7.9,318.9166187,6.7725,0.96,360,4.6
26,348,14,8.3,245.5271766,6.9305,0.95,360,4.6
27,348,15,8.4,151.3743173,7.14,0.96,360,4.6
28,348,16,8.8,48.18882007,7.305,0.96,360,4.6
29,348,17,9.1,29.26851972,7.425,0.95,360,4.6
30,348,18,9.2,7.783573224,7.5,0.95,360,4.6
31,348,19,9.1,0,7.57,0.92,360,4.6
32,348,20,9.4,0,7.535,0.9,360,4.6
33,348,21,8.9,0,7.59,0.88,360,4.6
34,348,22,8.8,0,7.52,0.85,360,4.6
35,348,23,8.8,0,7.365,0.87,360,4.6
36,348,24,8.8,0,7.43,0.91,360,5.2
37,349,1,8.8,0,7.53,0.84,360,5.2
38,349,2,8.5,0,7.465,0.78,360,5.2
39,349,3,7.8,0,7.16,0.84,360,5.2
40,349,4,8.5,0.024154428,7.015,0.82,360,5.2
41,349,5,7.9,0,7.035,0.82,360,5.2
42,349,6,7.2,0,6.9955,0.88,360,5.2
43,349,7,6.6,12.04253342,6.9275,0.86,360,5.2
44,349,8,6.1,33.18238326,6.727,0.86,360,5.2
45,349,9,6.6,95.686502,6.381,0.83,360,5.2
46,349,10,7.2,204.9915076,6.25,0.79,360,5.2
47,349,11,7.5,274.8509966,6.452,0.79,360,5.2
48,349,12,8.6,343.7178647,6.756,0.71,360,5.2
49,349,13,8.8,317.129148,7.075,0.7,360,5.2
50,349,14,8.5,245.957556,7.195,0.71,360,5.2
51,349,15,8,151.3755221,7.135,0.7,360,5.2
52,349,16,7.5,47.09320102,7.0375,0.72,360,5.2
53,349,17,6.5,24.75391813,6.736,0.78,360,5.2
54,349,18,5.8,7.056839163,6.3705,0.82,360,5.2
55,349,19,5.2,0,6.1425,0.89,360,5.2
56,349,20,5.6,0,5.922,0.88,360,5.2
57,349,21,5.7,0,5.792,0.87,360,5.2
58,349,22,5.7,0,5.7105,0.87,360,5.2
59,349,23,5.1,0,5.6855,0.9,360,5.2
60,349,24,4.6,0,5.6745,0.92,360,4.2
61,350,1,4.3,0,5.6205,0.93,360,4.2
62,350,2,4.1,0,5.535,0.93,360,4.2
63,350,3,4,0,5.4325,0.94,360,4.2
64,350,4,4,0.017606072,5.351,0.95,360,4.2
65,350,5,3.8,0,5.298,0.95,360,4.2
66,350,6,3.9,0,5.246,0.95,360,4.2
67,350,7,3.6,11.17654533,5.174,0.94,360,4.2
68,350,8,3.6,28.81412894,5.0865,0.94,360,4.2
69,350,9,3.6,91.64301793,4.9975,0.94,360,4.2
70,350,10,3.6,200.1568972,4.9475,0.94,360,4.2
71,350,11,4.1,271.9802474,4.967,0.94,360,4.2
72,350,12,4.4,338.0957798,5.114,0.92,360,4.2
73,350,13,4.5,315.6448335,5.3275,0.88,360,4.2
