t,species,metamer,organ,Eabs,plant
0,Caphorn,1,blade,0.0,1
0,Caphorn,1,sheath,0.0,1
0,Caphorn,2,blade,0.0,1
0,Caphorn,2,sheath,0.0,1
0,Caphorn,3,blade,0.0,1
0,Caphorn,3,sheath,0.0,1
0,Caphorn,4,blade,0.0,1
0,Caphorn,4,internode,0.0,1
0,Caphorn,4,sheath,0.0,1
0,Caphorn,5,internode,0.0,1
0,Caphorn,6,internode,0.0,1
1,Caphorn,1,blade,0.0,1
1,Caphorn,1,sheath,0.0,1
1,Caphorn,2,blade,0.0,1
1,Caphorn,2,sheath,0.0,1
1,Caphorn,3,blade,0.0,1
1,Caphorn,3,sheath,0.0,1
1,Caphorn,4,blade,0.0,1
1,Caphorn,4,internode,0.0,1
1,Caphorn,4,sheath,0.0,1
1,Caphorn,5,internode,0.0,1
1,Caphorn,6,internode,0.0,1
2,Caphorn,1,blade,0.0,1
2,Caphorn,1,sheath,0.0,1
2,Caphorn,2,blade,0.0,1
2,Caphorn,2,sheath,0.0,1
2,Caphorn,3,blade,0.0,1
2,Caphorn,3,sheath,0.0,1
2,Caphorn,4,blade,0.0,1
2,Caphorn,4,internode,0.0,1
2,Caphorn,4,sheath,0.0,1
2,Caphorn,5,internode,0.0,1
2,Caphorn,6,internode,0.0,1
3,Caphorn,1,blade,0.0,1
3,Caphorn,1,sheath,0.0,1
3,Caphorn,2,blade,0.0,1
3,Caphorn,2,sheath,0.0,1
3,Caphorn,3,blade,0.0,1
3,Caphorn,3,sheath,0.0,1
3,Caphorn,4,blade,0.0,1
3,Caphorn,4,internode,0.0,1
3,Caphorn,4,sheath,0.0,1
3,Caphorn,5,internode,0.0,1
3,Caphorn,6,internode,0.0,1
4,Caphorn,1,blade,0.0,1
4,Caphorn,1,sheath,0.0,1
4,Caphorn,2,blade,0.0,1
4,Caphorn,2,sheath,0.0,1
4,Caphorn,3,blade,0.0,1
4,Caphorn,3,sheath,0.0,1
4,Caphorn,4,blade,0.0,1
4,Caphorn,4,internode,0.0,1
4,Caphorn,4,sheath,0.0,1
4,Caphorn,5,internode,0.0,1
4,Caphorn,6,internode,0.0,1
5,Caphorn,1,blade,0.0857616752308,1
5,Caphorn,1,sheath,0.0378746542887,1
5,Caphorn,2,blade,0.106828920656,1
5,Caphorn,2,sheath,0.03235881993,1
5,Caphorn,3,blade,0.172969432509,1
5,Caphorn,3,sheath,0.0487747683041,1
5,Caphorn,4,blade,0.326601311625,1
5,Caphorn,4,internode,0.0556211691334,1
5,Caphorn,4,sheath,0.0938179284178,1
5,Caphorn,5,internode,0.112905570683,1
5,Caphorn,6,internode,0.259415923063,1
6,Caphorn,1,blade,0.0857616752308,1
6,Caphorn,1,sheath,0.0378746542887,1
6,Caphorn,2,blade,0.106828920656,1
6,Caphorn,2,sheath,0.03235881993,1
6,Caphorn,3,blade,0.172969432509,1
6,Caphorn,3,sheath,0.0487747683041,1
6,Caphorn,4,blade,0.326601311625,1
6,Caphorn,4,internode,0.0556211691334,1
6,Caphorn,4,sheath,0.0938179284178,1
6,Caphorn,5,internode,0.112905570683,1
6,Caphorn,6,internode,0.259415923063,1
7,Caphorn,1,blade,0.0857616752308,1
7,Caphorn,1,sheath,0.0378746542887,1
7,Caphorn,2,blade,0.106828920656,1
7,Caphorn,2,sheath,0.03235881993,1
7,Caphorn,3,blade,0.172969432509,1
7,Caphorn,3,sheath,0.0487747683041,1
7,Caphorn,4,blade,0.326601311625,1
